diagnostic_id,conclusion,stability_score,finding,condition,baseline,effect_value,delta,ci_lower,ci_upper,p_perm,p_adj,effect_d,stability,n_obs,recommendation
d09,positive,0.8371072053574129,Day bullish rate (Asian bear close),Asian close position < 0.4,0.5293262239457102,0.3413333333333333,-0.18799289061237684,0.30666666666666664,0.3732525663137273,0.0,0.0,-0.6170104244617158,0.8371072053574129,750,Actionable
d09,positive,0.8371072053574129,Day bullish rate (Asian bull close),Asian close position > 0.6,0.5293262239457102,0.6855895196506551,0.1562632957049449,0.6550218340611353,0.7154654956327449,0.0,0.0,0.5862176803379872,0.8371072053574129,916,Actionable
d09,positive,0.8371072053574129,London expansive day rate (Asian compressed),Asian range < 25th percentile,0.6865965834428384,0.9390018484288355,0.25240526498599714,0.9149722735674677,0.955637707948244,0.0,0.0,0.6051968839266564,0.8371072053574129,541,Actionable
d07,negative,0.8267043381272998,M15 breakout sustainability (NY),"session=NY, lookback=10 bars",0.405127854037586,0.37154848685663794,-0.03357936718094806,0.3589712614894848,0.38685324918367714,0.0,0.0,-0.08097698423716648,0.8267043381272998,4527,Ignore
d07,negative,0.8267043381272998,M15 breakout sustainability (Asian),"session=Asian, lookback=10 bars",0.405127854037586,0.4022654057986075,-0.002862448238978521,0.3882994,0.4108,0.486,0.486,-0.008694813190768685,0.8267043381272998,9623,Ignore
d07,negative,0.8267043381272998,M15 breakout sustainability (London),"session=London, lookback=10 bars",0.405127854037586,0.4232142857142857,0.01808643167669971,0.4099996,0.4324,0.0,0.0,0.04908017806065971,0.8267043381272998,7280,Ignore
d08,negative,0.7428517431059876,Day high forms in NY session,12:00-17:00 UTC,0.20833333333333334,0.1181197267979108,-0.09021360653542254,0.10606669345118522,0.13218159903575732,1.0,1.0,-0.22213729701186438,0.7428517431059876,294,Ignore
d08,negative,0.7428517431059876,Day low forms in London session,07:00-12:00 UTC,0.20833333333333334,0.2989152269987947,0.09058189366546135,0.2812374447569305,0.3159224761343576,1.0,1.0,0.22304414810376652,0.7428517431059876,744,Ignore
d08,negative,0.7428517431059876,Day high forms in London session,07:00-12:00 UTC,0.20833333333333334,0.2820409803133789,0.07370764698004553,0.26436319807151465,0.2995945395609515,1.0,1.0,0.18149387989297433,0.7428517431059876,702,Ignore
d10,negative,0.511366102604556,Mon daily range,weekday=Mon,25.184805868167206,26.41410791366905,1.2293020455018429,24.430412089736535,28.887347111336837,1.0,0.0023461886663639483,0.06855239132415933,0.511366102604556,417,Monitor
d10,negative,0.511366102604556,Tue daily range,weekday=Tue,25.184805868167206,27.532624401913882,2.3478185337466755,25.67703408244727,30.718256974712773,1.0,0.0023461886663639483,0.13110442737495692,0.511366102604556,418,Monitor
d10,negative,0.511366102604556,Wed daily range,weekday=Wed,25.184805868167206,27.8892870813397,2.7044812131724925,26.23340010609744,30.14889020636827,1.0,0.0023461886663639483,0.15108020135915223,0.511366102604556,418,Monitor
d10,negative,0.511366102604556,Thu daily range,weekday=Thu,25.184805868167206,27.970395683453244,2.7855898152860377,26.32318137892448,30.123754228862705,1.0,0.0023461886663639483,0.15555038868756943,0.511366102604556,417,Monitor
d10,negative,0.511366102604556,Fri daily range,weekday=Fri,25.184805868167206,26.55928078817734,1.3744749200101332,24.932641896948272,28.976150178976727,1.0,0.0023461886663639483,0.07624831050180057,0.511366102604556,406,Monitor
